Model,Accuracy,Precision,Recall,F1-score,Test loss
CNN,0.9228,0.9223885751342689,0.9228,0.9224818899643212,0.26117244555950164
CNN + Dropout + BatchNorm,0.9218,0.9216266412206716,0.9218,0.9212226329108727,0.2256753700375557
CNN + Dropout,0.918,0.9174709958685152,0.9179999999999998,0.917496522308656,0.24016893439292908
CNN + BatchNorm,0.9057,0.9084045403558247,0.9057000000000001,0.904532977045333,0.32961183715462683
